COURSE_CODE,CLASS,RESP_1,RESP_2,RESP_3,RESP_4,RESP_5,RESP_6,RESP_7,RESP_8,RESP_9,RESP_10,RESP_11,RESP_12,RESP_13,RESP_14,RESP_15,RESP_16,MAJOR,CORE,CAREER,REPUTATION,OTHER,GRADE,HOURS,ACADEMIC_PERIOD
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,6,1,201127
139,3,4,5,5,5,5,4,4,3,2,4,3,3,3,4,4,4,1,,,,,2,1,201127
139,3,3,5,3,1,1,3,4,3,2,5,3,2,3,4,2,5,1,1,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,1,1,0,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
139,2,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,,,1,,,1,1,201127
139,2,4,5,5,5,5,5,5,4,4,5,4,4,4,5,3,4,1,,,,,3,2,201127
139,3,4,3,4,4,4,4,4,3,4,3,3,3,3,3,2,3,1,,,,,,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,4,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,1,,,1,1,201127
139,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,,1,2,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,,2,201127
139,3,5,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,,,,1,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,,,,,,,1,,1,1,,1,2,201127
139,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,0,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
139,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,1,,,,,2,2,201127
139,,4,4,4,4,4,4,4,4,4,4,,,,,,,1,,,,,2,2,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
139,3,4,5,4,4,3,4,2,3,4,4,4,3,4,4,4,4,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,1,,,,,2,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,4,1,,,,,2,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,4,4,5,5,5,3,3,4,1,,,,,1,2,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,4,201127
139,3,5,5,4,4,4,4,4,3,5,5,5,5,5,4,3,4,1,,,,,1,2,201127
139,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,1,,,,,2,1,201127
139,3,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4,1,,,,,1,1,201127
139,3,4,5,5,4,4,4,5,3,4,5,4,3,3,4,5,5,1,,,,,6,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,0,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,0,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
139,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,0,201127
139,3,3,5,5,4,5,5,5,5,5,5,4,3,3,5,2,3,1,,,,,2,2,201127
165,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,4,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,4,4,5,5,4,5,4,5,5,4,4,5,5,5,,1,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,1,,1,1,201127
165,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,5,1,,1,,,2,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,1,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,4,4,4,5,5,5,4,5,4,4,3,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,,,,,2,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,1,,,1,1,201127
165,2,4,3,,4,4,4,4,5,5,5,4,4,4,4,4,4,,1,,,,2,1,201127
165,3,4,3,4,4,5,4,4,3,3,4,3,1,1,3,4,5,1,,,,,2,1,201127
165,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,4,4,5,5,5,5,5,4,4,4,4,3,4,4,2,4,4,1,,,,,2,,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,1,,1,1,,2,1,201127
165,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,,1,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,4,4,,5,5,1,,1,,,2,1,201127
165,3,5,5,5,4,5,5,4,5,5,5,5,4,4,4,5,5,1,,,,,,1,201127
165,3,4,4,4,3,4,4,4,4,4,4,,,,,,,,,1,,,2,1,201127
165,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,3,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,1,,,,,1,1,201127
165,3,5,3,,5,5,5,5,5,5,5,4,4,4,5,4,4,1,1,,,,3,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,1,,,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,,2,2,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,,,1,1,201127
165,4,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,2,,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,,2,,201127
165,3,5,4,5,5,5,5,5,5,5,5,5,,4,5,5,5,1,,,,,1,1,201127
165,3,5,3,4,3,4,4,5,4,4,4,5,5,5,4,4,4,1,,,,,1,2,201127
165,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,5,3,5,5,5,5,4,5,5,5,5,5,5,4,5,5,1,1,,,,2,1,201127
165,3,4,3,5,5,5,5,5,5,4,5,5,4,5,5,2,5,1,,,,,2,2,201127
165,2,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,3,5,4,4,5,4,4,5,5,5,5,5,4,4,5,1,1,1,1,,,,201127
165,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,1,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,,1,,,,1,1,201127
165,4,4,3,4,5,5,5,3,4,,3,4,4,3,4,5,5,1,,,,,3,1,201127
165,,4,4,4,4,4,,4,4,3,5,5,4,4,4,4,3,,,,,,1,2,201127
165,4,4,2,4,5,5,5,1,2,1,5,4,4,4,4,4,4,1,1,,,,2,1,201127
165,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,4,3,4,3,3,2,4,4,3,4,4,3,3,3,4,4,1,,,,,2,1,201127
165,4,5,,4,4,5,4,3,4,4,5,4,3,3,4,4,4,1,,,,,1,1,201127
165,3,5,4,5,5,5,5,5,5,5,5,5,3,4,5,5,3,,1,,,,1,2,201127
165,3,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,4,1,,,,,2,1,201127
165,3,4,4,4,3,,4,4,5,4,5,4,4,4,4,4,4,1,,,,,1,2,201127
165,2,5,3,4,3,3,4,4,3,4,,5,3,4,4,4,3,1,,,,,2,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,3,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,,,,,1,1,201127
165,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,2,1,201127
165,3,2,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,1,,,,,2,1,201127
165,3,4,3,4,5,5,4,4,4,4,5,4,4,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,1,1,201127
165,3,4,3,4,4,4,4,4,3,4,5,4,,,4,4,4,1,,,,,2,2,201127
165,2,5,3,5,5,5,5,5,5,5,5,5,4,4,4,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,4,4,2,4,4,4,5,5,4,4,5,5,4,4,3,3,3,1,,,,,2,2,201127
165,3,5,2,2,2,2,2,3,3,3,2,2,2,3,1,1,1,1,,,,,6,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,,5,,5,,5,5,,5,,,1,,,2,0,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,3,4,,3,4,4,4,4,4,4,4,4,4,4,4,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,1,1,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,3,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,,,,,2,2,201127
165,4,,,5,5,5,5,5,,,5,5,5,5,5,,,1,,,,,1,,201127
165,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,2,2,201127
165,2,5,4,5,5,5,5,4,5,5,5,5,4,4,4,5,5,1,,,,,2,1,201127
165,3,5,4,5,5,5,5,5,5,5,,5,4,5,5,5,5,1,,,,,2,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,,,,1,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,2,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,4,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,1,,,,,2,2,201127
165,3,4,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,1,1,,,,2,1,201127
165,3,4,5,5,5,5,,4,5,5,5,4,4,4,3,3,4,1,1,,,,3,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,1,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,2,1,201127
165,3,3,5,5,5,5,5,3,5,4,5,3,3,3,5,5,4,1,,,,,3,0,201127
165,4,4,4,5,5,4,4,5,4,4,5,4,4,4,5,5,5,1,,,,,2,1,201127
165,4,5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,5,1,,,,,2,1,201127
165,3,5,3,5,5,5,5,5,5,4,5,4,4,4,5,4,5,,1,,,,3,2,201127
165,2,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,5,1,,,,,3,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,,1,,1,,1,1,201127
165,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,,2,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,1,1,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,0,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,,,,,,,,,1,,,2,0,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,1,,,2,1,201127
165,3,4,4,4,4,4,5,4,4,4,5,5,4,4,5,5,5,1,,,,,1,1,201127
165,3,5,4,4,4,5,5,5,5,4,4,5,5,4,4,5,5,1,,,,,2,1,201127
165,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,1,,,,,,,201127
165,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,1,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,4,4,5,5,5,4,5,5,5,4,4,4,5,5,5,,1,,,,,1,201127
165,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,,1,,,,1,1,201127
165,3,4,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,,,,,,1,,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,,5,1,,,,,2,2,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,3,5,3,5,,2,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,1,1,201127
165,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,1,,,,,3,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,5,4,5,4,4,5,5,5,4,5,5,5,5,4,4,5,1,,,,,1,1,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,2,201127
165,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,4,4,3,3,4,4,5,4,5,5,5,4,3,4,4,5,5,1,,,,,1,0,201127
165,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,2,1,201127
165,3,4,3,3,4,4,4,3,4,2,5,3,4,4,4,4,4,1,,,,,2,1,201127
165,2,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,1,,1,,,2,,201127
165,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,2,1,201127
165,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,1,201127
165,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,3,1,201127
165,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,2,2,201127
165,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,,,,,2,1,201127
165,3,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,1,,,,,3,2,201127
165,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,,,,,1,1,201127
165,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,1,1,201127
165,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,1,1,201127
165,3,5,3,5,4,4,5,5,5,5,5,5,4,5,5,5,5,1,,,,,,,201127
165,3,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,,,,,,1,201127
